Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units,Border_State,Coastal_State,Arrest_Rate,Drug_Diversity,Total_Quantity,Growth_Rate,Risk_Index
2020,Uttar Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39387.0,1238.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.08,468.42,0.0,9976.0,336.0,0.0,0.0,138560.0,8896.0,9171.0,False,51168.42,0.08,138896.0,1,0,1.0309127697841727,11,190064.5,0.25118097733840083,0.21646114233687125
2021,Uttar Pradesh,0.0,0.0,0.0,11.69,0.0,0.0,82.35,0.0,0.0,39047.0,838.7,0.0,58.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18,0.0,95.0,0.0,1965.0,147.0,115272.0,0.16,104541.0,7182.0,7507.0,False,42036.37,82.35,219960.0,1,0,1.0452520189362295,13,262078.72,0.37889358612471025,0.2286769292730193
2022,Uttar Pradesh,0.0,0.0,0.0,0.11,0.0,0.0,366.05,0.0,0.0,45519.0,654.25,0.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,48.35,0.0,212.41,0.0,2129.0,552.0,0.0,34.6,148172.0,10273.0,10732.0,False,48695.02,366.05,148724.0,1,0,1.0446802297284143,14,197785.07,-0.24532190175531987,0.27281054345632955
2023,Uttar Pradesh,0.0,77.14,0.0,0.0,0.0,0.0,16492.0,0.0,0.0,38069.0,1332.76,0.0,107.01,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,61.54,0.0,121.97,0.0,19905.0,26574.0,84445.0,2.98,1512923.0,8221.0,10212.0,False,59678.70000000001,16492.0,1623942.0,1,0,1.2421846490694564,14,1700112.7,7.595758517060968,0.2608396709044255
2024,Uttar Pradesh,0.0,96.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,41327.0,720.0,0.0,97.16,0.0,0.0,0.0,0.0,26.74,0.44,0.0,0.0,20.23,0.0,368.0,0.0,8374.0,17301.0,24036.0,1.51,5127248.0,6204.0,8054.0,False,51032.170000000006,0.0,5168585.0,1,0,1.29819471308833,14,5219617.17,2.0701595076608745,0.2600508598451832
2018,Uttarakhand,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,800.0,376.02,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,537.94,28115.0,0.0,0.0,117945.0,1064.0,1125.0,False,1726.64,0.0,146060.0,1,0,1.0573308270676691,9,147786.64,0.0,0.11115821733526264
2019,Uttarakhand,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,1363.0,217.87,0.0,13.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.17,0.0,367.0,0.0,0.0,0.0,220096.0,1394.0,1494.0,False,1981.77,0.0,220096.0,1,0,1.0717360114777619,8,222077.77,0.5026917859422202,0.10049523439564897
2020,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,355.68,0.0,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0.0,316.0,5327.0,0.0,0.0,120153.0,1301.0,1479.0,False,1876.46,0.0,125480.0,1,0,1.1368178324365872,8,127356.46,-0.42652314997579444,0.09907776861161562
2021,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,286.27,0.0,35.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19,0.0,221.0,9831.0,2389.0,0.0,793025.0,1811.0,2152.0,False,2160.6400000000003,0.0,805245.0,1,0,1.1882937603533958,8,807405.64,5.339730548415055,0.1077140742348463
2022,Uttarakhand,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1233.0,238.21,0.0,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,0.0,70.0,17506.0,0.0,0.0,148098.0,1455.0,1760.0,False,1580.47,0.0,165604.0,1,0,1.2096219931271477,10,167184.47,-0.7929362123355987,0.12936752828055476
2023,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,249.74,0.0,23.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,0.0,159.0,15590.0,0.0,7.8,825150.0,1347.0,1721.0,False,1939.48,0.0,840740.0,1,0,1.2776540460282109,9,842679.48,4.040417211000519,0.11765691749422277
2024,Uttarakhand,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1949.0,260.0,0.0,21.19,0.0,0.0,2058.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,18.0,0.0,464.0,17710.0,0.0,0.0,250391.0,1115.0,1450.0,False,2713.13,0.0,270159.0,1,0,1.3004484304932735,11,272872.13,-0.6761851493049291,0.14090002370502785
2018,West Bengal,0.0,197.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,25062.0,12.09,0.0,43.95,0.0,0.0,131.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,24.1,0.0,4739.82,10095.0,2417.0,0.21,13402.0,789.0,1242.0,False,30079.41,0.0,26045.0,1,1,1.5741444866920151,14,56124.41,0.0,0.17940795555049688
2019,West Bengal,17.14,1410.5,0.0,0.0,0.0,0.0,0.0,0.35,0.0,13830.0,6.97,0.0,33.12,110.1,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.56,0.0,3333.0,0.0,40000.0,2.96,2990.0,546.0,889.0,False,19005.4,0.0,42990.0,1,1,1.6282051282051282,13,61995.4,0.10460671212401151,0.1627801265624132
2020,West Bengal,100.0,233.72,0.0,0.0,416.51,2228.86,0.0,10.16,0.0,25908.0,70.88,0.0,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,88.1,0.0,0.0,217.0,234007.0,17.63,342440.0,1356.0,2154.0,False,26907.29,2228.86,576664.0,1,1,1.5884955752212389,15,605800.15,8.771695158027853,0.20218614279351924
2021,West Bengal,215.3,3.96,0.0,4.06,478.1,838.77,0.0,12.85,0.0,31169.0,8.84,0.0,128.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,22.48,0.0,1022.0,3696.0,389846.0,38.23,681944.0,1888.0,2943.0,False,33108.1,838.77,1075486.0,1,1,1.558792372881356,17,1109432.87,0.8313512632837745,0.23866072625446405
2022,West Bengal,0.0,1.0,0.0,0.5,344.55,2921.89,23.33,0.03,0.0,23647.0,0.14,0.0,182.94,1.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,55.18,0.0,54.79,0.0,892.0,12861.0,490223.0,34.78,924092.0,1593.0,2419.0,False,25214.09,2945.22,1427176.0,1,1,1.5185185185185186,19,1455335.31,0.31178311852252927,0.2662094019785417
2023,West Bengal,0.07,0.21,0.0,4.29,29.62,70.16,50.13,0.0,0.0,19928.0,13.1,0.0,117.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.37,0.0,58.03,0.0,89.0,27834.0,508112.0,12.2,258502.0,1005.0,1469.0,False,20371.61,120.29,794448.0,1,1,1.4616915422885572,17,814939.9,-0.44003289523704336,0.22845284736962315
2024,West Bengal,0.0,6.0,0.0,0.62,0.0,265.37,0.0,0.0,0.0,21050.0,2.0,0.0,116.43,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.0,11.81,0.0,99.0,154057.0,551.0,19539.0,1137573.0,13.6,1721160.0,1089.0,1648.0,False,21850.64,265.37,3032329.0,1,1,1.5133149678604223,17,3054445.01,2.748061679149591,0.24130832662442803
