Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units
2018,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,59.0,False,64.0,0.0,0.0
2018,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38471.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,547.0,1319.0,False,38479.44,0.0,0.0
2018,Arunachal Pradesh,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,0.0,0.0,1217.0,154.0,259.0,False,1946.33,0.0,1217.0
2018,Assam,0.0,0.12,0.0,0.35,0.0,0.0,0.0,0.0,0.0,12209.0,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0,16.32,0.0,0.0,0.0,127376.0,19.3,3097275.0,491.0,727.0,False,12259.939999999999,0.0,3224651.0
2018,Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15868.0,268.23,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,5.5,0.0,43.0,199.0,5188.0,0.0,474.0,194.0,174.0,False,16189.029999999999,0.0,5861.0
2018,Chandigarh,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,28.0,51.98,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,581.66,4386.0,26.0,0.0,11595.0,207.0,90.0,False,685.8299999999999,0.0,16007.0
2018,Chhattisgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25964.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,7858.0,39841.0,0.0,127145.0,685.0,1036.0,False,25975.31,0.0,174844.0
2018,Goa,0.0,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,71.0,15.38,0.0,0.02,0.0,0.0,21.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2.0,249.0,254.0,False,86.96999999999998,0.0,23.0
2018,Gujarat,0.0,1.52,0.0,1.72,0.0,0.0,0.0,0.0,0.0,6180.0,111.69,0.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,1082.85,2889.0,45623.0,9.9,33250.0,169.0,239.0,False,7395.99,0.0,81762.0
2018,Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6139.0,346.84,0.0,33.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.75,0.0,9790.85,0.0,0.0,13.0,135337.0,2345.0,2892.0,False,16427.11,0.0,135337.0
